model,c1,c2,severity,drop_c1,drop_c2,drop_combined,expected_additive,interaction,interaction_type
ViT-L-14,gaussian_noise,motion_blur,5,0.8029999999999999,0.7809999999999999,0.816,1.5839999999999999,-0.7679999999999999,subadditive
ViT-L-14,gaussian_noise,fog,5,0.8029999999999999,0.753,0.818,1.556,-0.7380000000000001,subadditive
ViT-L-14,gaussian_noise,jpeg_compression,5,0.8029999999999999,0.758,0.813,1.561,-0.748,subadditive
ViT-L-14,gaussian_noise,brightness,5,0.8029999999999999,0.29799999999999993,0.815,1.101,-0.28600000000000003,subadditive
ViT-L-14,gaussian_noise,contrast,5,0.8029999999999999,0.602,0.816,1.4049999999999998,-0.5889999999999999,subadditive
ViT-L-14,gaussian_noise,shot_noise,5,0.8029999999999999,0.7969999999999999,0.818,1.5999999999999999,-0.7819999999999999,subadditive
ViT-L-14,motion_blur,fog,5,0.7809999999999999,0.753,0.816,1.5339999999999998,-0.7179999999999999,subadditive
ViT-L-14,motion_blur,jpeg_compression,5,0.7809999999999999,0.758,0.815,1.539,-0.724,subadditive
ViT-L-14,motion_blur,brightness,5,0.7809999999999999,0.29799999999999993,0.7929999999999999,1.0789999999999997,-0.2859999999999998,subadditive
ViT-L-14,motion_blur,contrast,5,0.7809999999999999,0.602,0.813,1.383,-0.5700000000000001,subadditive
ViT-L-14,motion_blur,shot_noise,5,0.7809999999999999,0.7969999999999999,0.82,1.5779999999999998,-0.7579999999999999,subadditive
ViT-L-14,fog,jpeg_compression,5,0.753,0.758,0.819,1.5110000000000001,-0.6920000000000002,subadditive
ViT-L-14,fog,brightness,5,0.753,0.29799999999999993,0.724,1.051,-0.32699999999999996,subadditive
ViT-L-14,fog,contrast,5,0.753,0.602,0.82,1.355,-0.535,subadditive
ViT-L-14,fog,shot_noise,5,0.753,0.7969999999999999,0.82,1.5499999999999998,-0.7299999999999999,subadditive
ViT-L-14,jpeg_compression,brightness,5,0.758,0.29799999999999993,0.7849999999999999,1.056,-0.27100000000000013,subadditive
ViT-L-14,jpeg_compression,contrast,5,0.758,0.602,0.7789999999999999,1.3599999999999999,-0.581,subadditive
ViT-L-14,jpeg_compression,shot_noise,5,0.758,0.7969999999999999,0.8059999999999999,1.555,-0.749,subadditive
ViT-L-14,brightness,contrast,5,0.29799999999999993,0.602,0.6639999999999999,0.8999999999999999,-0.236,subadditive
ViT-L-14,brightness,shot_noise,5,0.29799999999999993,0.7969999999999999,0.813,1.0949999999999998,-0.2819999999999998,subadditive
ViT-L-14,contrast,shot_noise,5,0.602,0.7969999999999999,0.819,1.399,-0.5800000000000001,subadditive
